NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;6:15.668;0;;3:14.481;0;1:20.413;0;1:40.774;0;130.6;6:15.668;16:06:15.668;3:14.481;1:20.413;1:40.774;304.7;Neel JANI;0:02:38.888;LMP1;H;Porsche LMP Team;Porsche;
1;0;2;3:34.582;0;;32.376;0;1:22.745;0;1:39.461;0;228.7;9:50.250;16:09:50.250;0:32.376;1:22.745;1:39.461;324.9;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;3;3:25.268;0;;32.366;0;1:18.644;0;1:34.258;0;239.0;13:15.518;16:13:15.518;0:32.366;1:18.644;1:34.258;328.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;4;3:29.611;0;;33.649;0;1:20.342;0;1:35.620;0;234.1;16:45.129;16:16:45.129;0:33.649;1:20.342;1:35.620;328.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;5;3:26.255;0;;33.062;0;1:18.608;0;1:34.585;0;237.9;20:11.384;16:20:11.384;0:33.062;1:18.608;1:34.585;326.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;6;3:30.024;0;;32.614;0;1:19.815;0;1:37.595;0;233.6;23:41.408;16:23:41.408;0:32.614;1:19.815;1:37.595;323.9;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;7;3:34.242;0;B;32.798;0;1:18.037;0;1:43.407;0;229.0;27:15.650;16:27:15.650;0:32.798;1:18.037;1:43.407;326.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;2;8;10:45.712;0;;7:52.516;0;1:18.892;0;1:34.304;0;76.0;38:01.362;16:38:01.362;7:52.516;1:18.892;1:34.304;326.8;Nick TANDY;0:07:29.916;LMP1;H;Porsche LMP Team;Porsche;
1;2;9;3:26.599;0;;33.640;0;1:18.155;0;1:34.804;0;237.5;41:27.961;16:41:27.961;0:33.640;1:18.155;1:34.804;325.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;10;3:23.846;0;;32.849;0;1:17.312;0;1:33.685;0;240.7;44:51.807;16:44:51.807;0:32.849;1:17.312;1:33.685;326.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;11;3:29.034;0;;34.084;0;1:17.170;0;1:37.780;0;234.7;48:20.841;16:48:20.841;0:34.084;1:17.170;1:37.780;327.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;12;3:25.100;0;;34.030;0;1:17.875;0;1:33.195;0;239.2;51:45.941;16:51:45.941;0:34.030;1:17.875;1:33.195;328.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;13;3:33.421;0;B;32.537;0;1:18.177;0;1:42.707;0;229.9;55:19.362;16:55:19.362;0:32.537;1:18.177;1:42.707;331.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;1;14;11:09.615;0;;7:32.304;0;1:18.918;0;2:18.393;0;73.3;1:06:28.977;17:06:28.977;7:32.304;1:18.918;2:18.393;328.8;André LOTTERER;0:07:08.623;LMP1;H;Porsche LMP Team;Porsche;
1;1;15;3:24.674;0;;33.245;0;1:17.898;0;1:33.531;0;239.7;1:09:53.651;17:09:53.651;0:33.245;1:17.898;1:33.531;323.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;16;3:25.866;0;;32.858;0;1:17.786;0;1:35.222;0;238.3;1:13:19.517;17:13:19.517;0:32.858;1:17.786;1:35.222;333.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;17;4:46.813;0;B;33.284;0;2:00.720;0;2:12.809;0;171.1;1:18:06.330;17:18:06.330;0:33.284;2:00.720;2:12.809;333.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;18;16:22.699;0;;13:31.843;0;1:17.518;0;1:33.338;0;49.9;1:34:29.029;17:34:29.029;13:31.843;1:17.518;1:33.338;329.8;André LOTTERER;0:13:09.660;LMP1;H;Porsche LMP Team;Porsche;
1;1;19;3:26.354;0;;33.745;0;1:17.653;0;1:34.956;0;237.8;1:37:55.383;17:37:55.383;0:33.745;1:17.653;1:34.956;328.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;20;3:24.758;0;;33.236;0;1:18.443;0;1:33.079;0;239.6;1:41:20.141;17:41:20.141;0:33.236;1:18.443;1:33.079;330.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;21;3:29.616;0;;33.196;0;1:18.655;0;1:37.765;0;234.1;1:44:49.757;17:44:49.757;0:33.196;1:18.655;1:37.765;334.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;22;3:55.030;0;;1:03.387;0;1:17.174;0;1:34.469;0;208.8;1:48:44.787;17:48:44.787;1:03.387;1:17.174;1:34.469;322.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;23;3:25.410;0;;34.271;0;1:18.276;0;1:32.863;1;238.9;1:52:10.197;17:52:10.197;0:34.271;1:18.276;1:32.863;327.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;24;3:29.131;0;B;32.380;1;1:16.498;1;1:40.253;0;234.6;1:55:39.328;17:55:39.328;0:32.380;1:16.498;1:40.253;327.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;2;25;9:31.081;0;;6:34.536;0;1:19.619;0;1:36.926;0;85.9;2:05:10.409;18:05:10.409;6:34.536;1:19.619;1:36.926;328.8;Nick TANDY;0:06:11.075;LMP1;H;Porsche LMP Team;Porsche;
1;2;26;3:22.978;0;;32.370;0;1:17.066;0;1:33.542;0;241.7;2:08:33.387;18:08:33.387;0:32.370;1:17.066;1:33.542;328.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;27;3:23.142;0;;32.686;0;1:17.348;0;1:33.108;0;241.5;2:11:56.529;18:11:56.529;0:32.686;1:17.348;1:33.108;332.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;28;3:24.827;0;;32.525;0;1:17.536;0;1:34.766;0;239.5;2:15:21.356;18:15:21.356;0:32.525;1:17.536;1:34.766;331.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;29;3:27.452;0;;33.792;0;1:19.185;0;1:34.475;0;236.5;2:18:48.808;18:18:48.808;0:33.792;1:19.185;1:34.475;329.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;30;3:24.346;0;;32.515;0;1:17.567;0;1:34.264;0;240.1;2:22:13.154;18:22:13.154;0:32.515;1:17.567;1:34.264;330.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;31;3:22.062;0;;32.355;0;1:17.039;0;1:32.668;0;242.8;2:25:35.216;18:25:35.216;0:32.355;1:17.039;1:32.668;334.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
