NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;4:31.920;0;;1:31.603;0;1:20.905;0;1:39.412;0;180.4;4:31.920;22:24:31.920;1:31.603;1:20.905;1:39.412;305.6;Neel JANI;0:00:59.886;LMP1;H;Porsche LMP Team;Porsche;
1;0;2;3:23.280;0;;32.009;0;1:17.173;0;1:34.098;0;241.4;7:55.200;22:27:55.200;0:32.009;1:17.173;1:34.098;316.3;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;3;3:27.646;0;;31.559;2;1:18.990;0;1:37.097;0;236.3;11:22.846;22:31:22.846;0:31.559;1:18.990;1:37.097;326.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;4;3:21.165;2;;32.100;0;1:16.561;2;1:32.504;2;243.9;14:44.011;22:34:44.011;0:32.100;1:16.561;1:32.504;331.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;5;3:32.402;0;B;32.927;0;1:17.467;0;1:42.008;0;231.0;18:16.413;22:38:16.413;0:32.927;1:17.467;1:42.008;318.2;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;2;6;17:48.899;0;;14:07.905;0;2:00.428;0;1:40.566;0;45.9;36:05.312;22:56:05.312;14:07.905;2:00.428;1:40.566;299.7;Nick TANDY;0:13:45.236;LMP1;H;Porsche LMP Team;Porsche;
1;2;7;4:05.697;0;;31.894;0;1:58.484;0;1:35.319;0;199.7;40:11.009;23:00:11.009;0:31.894;1:58.484;1:35.319;327.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;8;3:22.258;0;;31.857;1;1:17.050;1;1:33.351;1;242.6;43:33.267;23:03:33.267;0:31.857;1:17.050;1:33.351;329.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;9;3:24.799;0;;32.145;0;1:18.166;0;1:34.488;0;239.6;46:58.066;23:06:58.066;0:32.145;1:18.166;1:34.488;330.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;10;3:32.352;0;B;31.976;0;1:17.096;0;1:43.280;0;231.1;50:30.418;23:10:30.418;0:31.976;1:17.096;1:43.280;329.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;1;11;9:10.602;0;;6:15.986;0;1:19.338;0;1:35.278;0;89.1;59:41.020;23:19:41.020;6:15.986;1:19.338;1:35.278;330.8;André LOTTERER;0:05:55.910;LMP1;H;Porsche LMP Team;Porsche;
1;1;12;3:25.413;0;;33.003;0;1:18.874;0;1:33.536;0;238.9;1:03:06.433;23:23:06.433;0:33.003;1:18.874;1:33.536;328.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;13;3:26.473;0;;32.554;0;1:18.026;0;1:35.893;0;237.6;1:06:32.906;23:26:32.906;0:32.554;1:18.026;1:35.893;324.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;14;3:26.201;0;;32.689;0;1:20.307;0;1:33.205;0;237.9;1:09:59.107;23:29:59.107;0:32.689;1:20.307;1:33.205;328.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;15;3:30.865;0;B;32.316;1;1:18.021;0;1:40.528;0;232.7;1:13:29.972;23:33:29.972;0:32.316;1:18.021;1:40.528;330.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;16;10:02.171;0;;7:04.670;0;1:18.598;0;1:38.903;0;81.5;1:23:32.143;23:43:32.143;7:04.670;1:18.598;1:38.903;327.8;André LOTTERER;0:06:42.118;LMP1;H;Porsche LMP Team;Porsche;
1;1;17;3:24.762;0;;32.453;0;1:17.503;0;1:34.806;0;239.6;1:26:56.905;23:46:56.905;0:32.453;1:17.503;1:34.806;326.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;18;3:23.260;0;;32.700;0;1:17.456;0;1:33.104;0;241.4;1:30:20.165;23:50:20.165;0:32.700;1:17.456;1:33.104;329.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;19;3:23.732;0;;33.010;0;1:17.714;0;1:33.008;0;240.8;1:33:43.897;23:53:43.897;0:33.010;1:17.714;1:33.008;330.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;20;3:23.867;0;;32.325;0;1:17.166;1;1:34.376;0;240.7;1:37:07.764;23:57:07.764;0:32.325;1:17.166;1:34.376;325.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;21;3:22.964;0;;32.417;0;1:17.868;0;1:32.679;1;241.7;1:40:30.728;00:00:30.728;0:32.417;1:17.868;1:32.679;330.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
13;2;1;4:44.454;0;;1:30.286;0;1:26.294;0;1:47.874;0;172.5;4:44.454;22:24:44.454;1:30.286;1:26.294;1:47.874;291.6;Mathias BECHE;0:00:54.532;LMP2;;Vaillante Rebellion;Oreca;
13;2;2;3:36.220;0;;33.300;2;1:21.240;0;1:41.680;0;226.9;8:20.674;22:28:20.674;0:33.300;1:21.240;1:41.680;326.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;3;3:37.159;0;;33.760;0;1:21.340;0;1:42.059;0;225.9;11:57.833;22:31:57.833;0:33.760;1:21.340;1:42.059;325.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;4;3:31.636;2;;33.629;0;1:20.909;1;1:37.098;2;231.8;15:29.469;22:35:29.469;0:33.629;1:20.909;1:37.098;325.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;5;3:39.943;0;B;33.631;0;1:21.143;0;1:45.169;0;223.1;19:09.412;22:39:09.412;0:33.631;1:21.143;1:45.169;329.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;1;6;6:40.095;0;;3:22.477;0;1:28.228;0;1:49.390;0;122.6;25:49.507;22:45:49.507;3:22.477;1:28.228;1:49.390;288.5;David HEINEMEIER HANSSON;0:02:51.637;LMP2;;Vaillante Rebellion;Oreca;
13;1;7;4:31.128;0;;34.325;0;2:09.581;0;1:47.222;0;181.0;30:20.635;22:50:20.635;0:34.325;2:09.581;1:47.222;321.0;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;8;3:38.266;0;;34.384;0;1:23.163;0;1:40.719;0;224.8;33:58.901;22:53:58.901;0:34.384;1:23.163;1:40.719;323.9;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;9;4:30.626;0;;36.654;0;2:06.417;0;1:47.555;0;181.3;38:29.527;22:58:29.527;0:36.654;2:06.417;1:47.555;324.9;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;10;3:47.787;0;B;33.988;0;1:21.959;0;1:51.840;0;215.4;42:17.314;23:02:17.314;0:33.988;1:21.959;1:51.840;325.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;0;11;7:37.967;0;;4:28.595;0;1:26.152;0;1:43.220;0;107.1;49:55.281;23:09:55.281;4:28.595;1:26.152;1:43.220;308.2;Nelson PIQUET JR;0:04:00.109;LMP2;;Vaillante Rebellion;Oreca;
13;0;12;3:52.386;0;;34.632;0;1:24.934;0;1:52.820;0;211.1;53:47.667;23:13:47.667;0:34.632;1:24.934;1:52.820;322.9;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
13;0;13;3:40.390;0;;34.028;0;1:23.043;0;1:43.319;0;222.6;57:28.057;23:17:28.057;0:34.028;1:23.043;1:43.319;308.2;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
13;0;14;3:34.537;0;;33.638;0;1:21.689;0;1:39.210;0;228.7;1:01:02.594;23:21:02.594;0:33.638;1:21.689;1:39.210;328.8;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
13;0;15;3:44.017;0;B;33.362;0;1:21.107;0;1:49.548;0;219.0;1:04:46.611;23:24:46.611;0:33.362;1:21.107;1:49.548;326.8;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
13;0;16;9:12.172;0;;6:12.266;0;1:21.984;0;1:37.922;0;88.9;1:13:58.783;23:33:58.783;6:12.266;1:21.984;1:37.922;321.0;Nelson PIQUET JR;0:05:47.203;LMP2;;Vaillante Rebellion;Oreca;
13;0;17;3:39.730;0;;34.376;0;1:23.252;0;1:42.102;0;223.3;1:17:38.513;23:37:38.513;0:34.376;1:23.252;1:42.102;327.8;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
13;0;18;3:32.503;0;;33.307;1;1:21.941;0;1:37.255;1;230.9;1:21:11.016;23:41:11.016;0:33.307;1:21.941;1:37.255;323.9;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
13;0;19;3:51.640;0;B;34.352;0;1:20.529;2;1:56.759;0;211.8;1:25:02.656;23:45:02.656;0:34.352;1:20.529;1:56.759;325.8;Nelson PIQUET JR;;LMP2;;Vaillante Rebellion;Oreca;
