NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;3:53.936;0;B;50.833;0;1:21.155;0;1:41.948;0;209.7;3:53.936;19:03:53.936;0:50.833;1:21.155;1:41.948;297.2;Nick TANDY;0:00:15.208;LMP1;H;Porsche LMP Team;Porsche;
1;2;2;9:06.620;0;;6:14.936;0;1:17.730;0;1:33.954;0;89.8;13:00.556;19:13:00.556;6:14.936;1:17.730;1:33.954;331.8;Nick TANDY;0:05:53.089;LMP1;H;Porsche LMP Team;Porsche;
1;2;3;3:21.083;0;;32.397;0;1:16.454;0;1:32.232;0;244.0;16:21.639;19:16:21.639;0:32.397;1:16.454;1:32.232;327.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;4;9:06.777;0;B;32.828;0;4:03.237;0;4:30.712;0;89.7;25:28.416;19:25:28.416;0:32.828;4:03.237;4:30.712;78.6;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;0;5;46:09.718;0;;43:12.057;0;1:19.175;0;1:38.486;0;17.7;1:11:38.130;20:11:38.134;43:12.057;1:19.175;1:38.486;320.1;Neel JANI;0:42:48.544;LMP1;H;Porsche LMP Team;Porsche;
1;0;6;3:17.259;2;;31.411;2;1:15.386;2;1:30.462;2;248.7;1:14:55.389;20:14:55.393;0:31.411;1:15.386;1:30.462;325.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;7;3:42.680;0;B;32.980;0;1:16.490;0;1:53.210;0;220.3;1:18:38.069;20:18:38.073;0:32.980;1:16.490;1:53.210;324.9;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;2;8;16:42.929;0;;13:45.650;0;1:23.564;0;1:33.715;0;48.9;1:35:20.998;20:35:21.002;13:45.650;1:23.564;1:33.715;283.2;Nick TANDY;0:13:21.911;LMP1;H;Porsche LMP Team;Porsche;
1;2;9;3:20.703;0;;31.980;0;1:16.066;0;1:32.657;0;244.5;1:38:41.701;20:38:41.705;0:31.980;1:16.066;1:32.657;322.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;10;3:20.750;0;;31.959;0;1:16.682;0;1:32.109;0;244.4;1:42:02.451;20:42:02.455;0:31.959;1:16.682;1:32.109;322.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;11;3:22.121;0;;31.813;0;1:16.736;0;1:33.572;0;242.7;1:45:24.572;20:45:24.576;0:31.813;1:16.736;1:33.572;324.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;12;3:22.949;0;;31.827;0;1:16.597;0;1:34.525;0;241.8;1:48:47.521;20:48:47.525;0:31.827;1:16.597;1:34.525;323.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;13;3:22.991;0;;32.074;0;1:17.631;0;1:33.286;0;241.7;1:52:10.512;20:52:10.516;0:32.074;1:17.631;1:33.286;325.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;14;3:22.206;0;;31.972;0;1:16.774;0;1:33.460;0;242.6;1:55:32.718;20:55:32.722;0:31.972;1:16.774;1:33.460;320.1;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;15;4:39.964;0;;32.881;0;1:20.257;0;2:46.826;0;175.3;2:00:12.682;21:00:12.686;0:32.881;1:20.257;2:46.826;328.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;16;3:20.693;0;;31.860;0;1:15.755;1;1:33.078;0;244.5;2:03:33.375;21:03:33.379;0:31.860;1:15.755;1:33.078;324.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;17;3:20.313;0;;32.143;0;1:16.584;0;1:31.586;1;244.9;2:06:53.688;21:06:53.692;0:32.143;1:16.584;1:31.586;326.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;18;3:22.118;0;;32.504;0;1:16.473;0;1:33.141;0;242.8;2:10:15.806;21:10:15.810;0:32.504;1:16.473;1:33.141;325.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;19;3:21.179;0;;32.253;0;1:16.251;0;1:32.675;0;243.9;2:13:36.985;21:13:36.989;0:32.253;1:16.251;1:32.675;311.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;20;3:26.015;0;B;31.771;1;1:16.545;0;1:37.699;0;238.2;2:17:03.000;21:17:03.004;0:31.771;1:16.545;1:37.699;324.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;21;6:16.798;0;B;1:37.259;0;1:17.305;0;3:22.234;0;130.2;2:23:19.798;21:23:19.802;1:37.259;1:17.305;3:22.234;322.9;Nick TANDY;0:01:16.022;LMP1;H;Porsche LMP Team;Porsche;
13;1;1;8:31.083;0;B;5:13.335;0;1:26.369;0;1:51.379;0;96.0;8:31.083;19:08:31.083;5:13.335;1:26.369;1:51.379;288.5;David HEINEMEIER HANSSON;0:04:35.851;LMP2;;Vaillante Rebellion;Oreca;
13;1;2;12:42.476;0;B;6:55.594;0;1:24.985;0;4:21.897;0;64.3;21:13.559;19:21:13.559;6:55.594;1:24.985;4:21.897;273.9;David HEINEMEIER HANSSON;0:06:30.646;LMP2;;Vaillante Rebellion;Oreca;
13;1;3;50:46.187;0;;47:43.783;0;1:23.929;0;1:38.475;0;16.1;1:11:59.742;20:11:59.746;47:43.783;1:23.929;1:38.475;291.6;David HEINEMEIER HANSSON;0:47:17.900;LMP2;;Vaillante Rebellion;Oreca;
13;1;4;3:30.154;0;;33.295;0;1:20.291;0;1:36.568;0;233.5;1:15:29.896;20:15:29.900;0:33.295;1:20.291;1:36.568;326.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;5;3:30.294;0;;33.126;1;1:19.868;1;1:37.300;0;233.3;1:19:00.190;20:19:00.194;0:33.126;1:19.868;1:37.300;328.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;6;3:31.409;0;;33.360;0;1:20.001;0;1:38.048;0;232.1;1:22:31.599;20:22:31.603;0:33.360;1:20.001;1:38.048;329.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;7;3:30.035;0;;33.170;0;1:20.392;0;1:36.473;1;233.6;1:26:01.634;20:26:01.638;0:33.170;1:20.392;1:36.473;330.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;8;3:31.888;0;;34.023;0;1:21.261;0;1:36.604;0;231.6;1:29:33.522;20:29:33.526;0:34.023;1:21.261;1:36.604;328.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;9;3:29.884;0;;33.128;0;1:20.278;0;1:36.478;0;233.8;1:33:03.406;20:33:03.410;0:33.128;1:20.278;1:36.478;326.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;10;3:33.670;0;;33.128;0;1:22.569;0;1:37.973;0;229.6;1:36:37.076;20:36:37.080;0:33.128;1:22.569;1:37.973;258.2;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;1;11;3:43.998;0;B;33.723;0;1:21.242;0;1:49.033;0;219.0;1:40:21.074;20:40:21.078;0:33.723;1:21.242;1:49.033;330.8;David HEINEMEIER HANSSON;;LMP2;;Vaillante Rebellion;Oreca;
13;2;12;6:14.129;0;;3:15.601;0;1:21.767;0;1:36.761;0;131.1;1:46:35.203;20:46:35.207;3:15.601;1:21.767;1:36.761;323.9;Mathias BECHE;0:02:51.899;LMP2;;Vaillante Rebellion;Oreca;
13;2;13;3:40.114;0;;33.734;0;1:20.871;0;1:45.509;0;222.9;1:50:15.317;20:50:15.321;0:33.734;1:20.871;1:45.509;327.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;14;3:28.387;0;;32.967;0;1:19.684;0;1:35.736;0;235.4;1:53:43.704;20:53:43.708;0:32.967;1:19.684;1:35.736;325.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;15;3:28.726;0;;32.876;0;1:19.618;0;1:36.232;0;235.1;1:57:12.430;20:57:12.434;0:32.876;1:19.618;1:36.232;327.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;16;4:49.052;0;;33.568;0;1:21.640;0;2:53.844;0;169.7;2:02:01.482;21:02:01.486;0:33.568;1:21.640;2:53.844;326.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;17;3:30.927;0;;32.940;0;1:19.799;0;1:38.188;0;232.6;2:05:32.409;21:05:32.413;0:32.940;1:19.799;1:38.188;326.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;18;3:35.613;0;B;32.972;0;1:19.967;0;1:42.674;0;227.6;2:09:08.022;21:09:08.026;0:32.972;1:19.967;1:42.674;327.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;19;6:57.071;0;;3:40.861;0;1:24.330;0;1:51.880;0;117.6;2:16:05.093;21:16:05.097;3:40.861;1:24.330;1:51.880;325.8;Mathias BECHE;0:03:15.225;LMP2;;Vaillante Rebellion;Oreca;
13;2;20;3:27.021;2;;32.521;2;1:19.353;2;1:35.147;2;237.0;2:19:32.114;21:19:32.118;0:32.521;1:19.353;1:35.147;325.8;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
13;2;21;7:40.621;0;B;38.491;0;3:42.455;0;3:19.675;0;106.5;2:27:12.735;21:27:12.739;0:38.491;3:42.455;3:19.675;77.5;Mathias BECHE;;LMP2;;Vaillante Rebellion;Oreca;
