NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;3;1;6:54.406;0;;3:52.276;0;1:21.461;0;1:40.669;0;117.1;6:54.406;22:06:54.406;3:52.276;1:21.461;1:40.669;313.6;Bruno SENNA;0:03:20.968;LMP1;;Rebellion Racing;Rebellion;
1;3;2;3:22.495;0;;31.045;2;1:16.849;2;1:34.601;0;242.2;10:16.901;22:10:16.901;0:31.045;1:16.849;1:34.601;323.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;3;4:33.413;0;;1:24.674;0;1:21.290;0;1:47.449;0;179.4;14:50.314;22:14:50.314;1:24.674;1:21.290;1:47.449;321.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;4;3:55.722;0;;1:02.936;0;1:19.373;0;1:33.413;0;208.1;18:46.036;22:18:46.036;1:02.936;1:19.373;1:33.413;320.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;5;3:19.662;2;;31.100;0;1:17.247;0;1:31.315;2;245.7;22:05.698;22:22:05.698;0:31.100;1:17.247;1:31.315;323.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;6;3:35.222;0;B;31.267;0;1:17.517;0;1:46.438;0;227.9;25:40.920;22:25:40.920;0:31.267;1:17.517;1:46.438;323.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;4:49.319;0;;1:53.970;0;1:20.370;0;1:34.979;0;169.5;30:30.239;22:30:30.239;1:53.970;1:20.370;1:34.979;323.9;André LOTTERER;0:01:31.919;LMP1;;Rebellion Racing;Rebellion;
1;1;8;3:25.557;0;;31.825;0;1:19.046;0;1:34.686;0;238.6;33:55.796;22:33:55.796;0:31.825;1:19.046;1:34.686;327.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;3:32.442;0;;32.695;0;1:20.450;0;1:39.297;0;230.9;37:28.238;22:37:28.238;0:32.695;1:20.450;1:39.297;324.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;4:01.679;0;;1:06.521;0;1:21.083;0;1:34.075;0;203.0;41:29.917;22:41:29.917;1:06.521;1:21.083;1:34.075;326.8;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;3:34.212;0;B;31.604;0;1:20.168;0;1:42.440;0;229.0;45:04.129;22:45:04.129;0:31.604;1:20.168;1:42.440;324.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;2;12;5:05.777;0;;2:07.990;0;1:20.332;0;1:37.455;0;160.4;50:09.906;22:50:09.906;2:07.990;1:20.332;1:37.455;329.8;Neel JANI;0:01:46.271;LMP1;;Rebellion Racing;Rebellion;
1;2;13;3:26.316;0;;32.355;0;1:19.874;0;1:34.087;0;237.8;53:36.222;22:53:36.222;0:32.355;1:19.874;1:34.087;322.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;14;3:24.320;0;;31.675;0;1:18.631;0;1:34.014;0;240.1;57:00.542;22:57:00.542;0:31.675;1:18.631;1:34.014;323.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;15;3:29.728;0;;32.595;0;1:19.424;0;1:37.709;0;233.9;1:00:30.270;23:00:30.270;0:32.595;1:19.424;1:37.709;323.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;16;3:33.330;0;B;32.152;0;1:18.789;0;1:42.389;0;229.9;1:04:03.600;23:04:03.600;0:32.152;1:18.789;1:42.389;322.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;17;20:39.000;0;;17:43.749;0;1:18.415;0;1:36.836;0;39.6;1:24:42.600;23:24:42.600;17:43.749;1:18.415;1:36.836;323.9;Neel JANI;0:17:22.128;LMP1;;Rebellion Racing;Rebellion;
1;2;18;3:27.537;0;;32.024;0;1:19.203;0;1:36.310;0;236.4;1:28:10.137;23:28:10.137;0:32.024;1:19.203;1:36.310;323.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;19;3:24.669;0;;31.584;0;1:19.528;0;1:33.557;0;239.7;1:31:34.806;23:31:34.806;0:31.584;1:19.528;1:33.557;323.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;20;3:21.209;0;;31.317;0;1:18.151;1;1:31.741;1;243.8;1:34:56.015;23:34:56.015;0:31.317;1:18.151;1:31.741;325.8;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;21;3:30.976;0;B;31.307;1;1:19.781;0;1:39.888;0;232.5;1:38:26.991;23:38:26.991;0:31.307;1:19.781;1:39.888;323.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;22;10:16.910;0;;7:21.824;0;1:19.624;0;1:35.462;0;79.5;1:48:43.901;23:48:43.901;7:21.824;1:19.624;1:35.462;322.9;André LOTTERER;0:06:59.776;LMP1;;Rebellion Racing;Rebellion;
1;1;23;3:26.148;0;;32.456;0;1:18.543;0;1:35.149;0;238.0;1:52:10.049;23:52:10.049;0:32.456;1:18.543;1:35.149;323.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
